namaresto,cuisines,namatype,ratescore,ratetext,cost,lokasi
 Phos Coffee  Eatery, Coffee, CafÃ,40, Very Good,200000,Jakarta Barat
 Ali Kopi Cafe  Roastery, Cafe, CafÃ,38, Good,120000,Jakarta Barat
 Pappa Jack Asian Cuisine, Peranakan, CafÃ,33, Average,330000,Jakarta Barat
 My Warm Day, Asian, CafÃ,38, Good,250000,Jakarta Barat
 Kolary Coffee, Coffee, CafÃ,41, Very Good,160000,Jakarta Barat
 Evlogia Cafe  Store, Cafe, CafÃ,42, Very Good,150000,Jakarta Barat
 JCO Donuts  Coffee, Coffee, CafÃ,38, Good,70000,Jakarta Barat
 GOODHOOD Coffee  Kitchen, Cafe, CafÃ,36, Good,200000,Jakarta Barat
 Blessed Brothers Cafe, Coffee, CafÃ,38, Good,160000,Jakarta Barat
 Excelso, Coffee, CafÃ,35, Good,230000,Jakarta Barat
 Starbucks Coffee, Coffee, CafÃ,40, Sangat Baik,160000,Jakarta Barat
 Calibrate Coffee, Cafe, CafÃ,43, Sangat Baik,150000,Jakarta Barat
 Trelatte Coffee  Soul, Coffee, CafÃ,40, Very Good,200000,Jakarta Barat
 Social House, Italian, Casual Dining,48, Excellent,400000,Jakarta Pusat
 Pancious, Western, Casual Dining,44, Very Good,400000,Jakarta Pusat
 Itacho Sushi, Japanese, Casual Dining,45, Excellent,250000,Jakarta Pusat
 Paulaner Brauhaus, German, Casual Dining,47, Excellent,500000,Jakarta Pusat
 Gyu  Kaku Japanese BBQ, Japanese, Casual Dining,48, Excellent,350000,Jakarta Pusat
 Tucanos Churrascaria  Brazilian BBQ  Buffet, Steak, Casual Dining,48, Excellent,500000,Jakarta Pusat
 Maple  Oak, Western, Casual Dining,43, Very Good,250000,Jakarta Pusat
 OJJU, Korean, Casual Dining,42, Very Good,200000,Jakarta Pusat
 Nomz Kitchen  Pastry, Western, Casual Dining,42, Sangat Baik,400000,Jakarta Pusat
 Popolamama, Pizza, Casual Dining,46, Excellent,180000,Jakarta Pusat
 Benedict, Western, Casual Dining,46, Excellent,350000,Jakarta Pusat
 Olivier, Western, Casual Dining,42, Very Good,350000,Jakarta Pusat
 Hello Sunday, Italian, Casual Dining,47, Excellent,350000,Jakarta Pusat
 Tokyo Belly, Ramen, Casual Dining,40, Very Good,200000,Jakarta Pusat
 Marche, Western, Casual Dining,42, Very Good,350000,Jakarta Pusat
 Union Deli, Western, Casual Dining,47, Excellent,300000,Jakarta Pusat
 Publik Markette, Asian, Casual Dining,42, Very Good,500000,Jakarta Pusat
 Cloud Lounge  Dining, European, Casual Dining,44, Sangat Baik,650000,Jakarta Pusat
 Tom Tom, Thai, Casual Dining,43, Very Good,300000,Jakarta Pusat
 Zenbu, Japanese, Casual Dining,43, Very Good,200000,Jakarta Pusat
 Seribu Rasa, Seafood, Casual Dining,45, Excellent,400000,Jakarta Pusat
 Djournal Coffee, Cafe, Casual Dining,42, Very Good,150000,Jakarta Pusat
 Fook Yew, Chinese, Casual Dining,41, Very Good,300000,Jakarta Pusat
 Bubur Kwang Tung, Seafood, Casual Dining,43, Very Good,150000,Jakarta Pusat
 The Peoples Cafe, Italian, Casual Dining,41, Very Good,200000,Jakarta Pusat
 Greyhound Cafe, Thai, Casual Dining,43, Very Good,300000,Jakarta Pusat
 YaUdah Bistro, European, Casual Dining,41, Very Good,200000,Jakarta Pusat
 Negiya, Japanese, Casual Dining,43, Very Good,200000,Jakarta Pusat
 Kopi Kenangan, Coffee, Casual Dining,44, Very Good,200000,Jakarta Pusat
 Pisa Kafe, Italian, Casual Dining,40, Very Good,300000,Jakarta Pusat
 Kokoro Mazesoba, Japanese, Casual Dining,43, Very Good,250000,Jakarta Pusat
 Tjikini, Coffee, Casual Dining,41, Very Good,180000,Jakarta Pusat
 Ippudo, Ramen, Casual Dining,46, Excellent,250000,Jakarta Pusat
 Por Que No, Spanish, Casual Dining,41, Very Good,350000,Jakarta Pusat
 Bakoel Koffie, Coffee, Casual Dining,39, Good,250000,Jakarta Pusat
 Caffè Milano, Italian, Casual Dining,44, Very Good,600000,Jakarta Pusat
 BART  Bar at The Roof Top  Artotel Jakarta, Continental, Casual Dining,39, Good,300000,Jakarta Pusat
 CorkScrew, European, Casual Dining,43, Very Good,600000,Jakarta Pusat
 Kikugawa, Japanese, Casual Dining,44, Very Good,250000,Jakarta Pusat
 NinetyNine, Jawa, Casual Dining,42, Very Good,250000,Jakarta Pusat
 OnYasai Shabu Shabu, Japanese, Casual Dining,45, Excellent,300000,Jakarta Timur
 Kedai Locale, Indonesian, Casual Dining,40, Very Good,190000,Jakarta Timur
 Warung Pasta, Asian, Casual Dining,39, Good,150000,Jakarta Timur
 Cerita Cafe, Cafe, Casual Dining,37, Good,150000,Jakarta Timur
 SeirockYa, Japanese, Casual Dining,43, Very Good,160000,Jakarta Timur
 Ichiro Ramen Market, Ramen, Casual Dining,41, Very Good,150000,Jakarta Timur
 De Facto Coffee  Eatery, Cafe, Casual Dining,42, Very Good,150000,Jakarta Timur
 Naniura Sushibar  Resto, Sushi, Casual Dining,39, Good,150000,Jakarta Timur
 Holycow STEAKHOUSE by Chef Afit, Steak, Casual Dining,41, Very Good,380000,Jakarta Timur
 Popolamama, Pizza, Casual Dining,42, Very Good,180000,Jakarta Timur
 Ol Star, Indonesian, Casual Dining,38, Good,150000,Jakarta Timur
 Nannys Pavillon, Italian, Casual Dining,40, Very Good,250000,Jakarta Timur
 HEMA Resto, Belanda, Casual Dining,37, Good,200000,Jakarta Timur
 Abuba Steak, Steak, Casual Dining,38, Good,300000,Jakarta Timur
 Abunawas, Arabian, Casual Dining,41, Very Good,250000,Jakarta Timur
 Mujigae, Korean, Casual Dining,39, Good,60000,Jakarta Timur
 Dapur Solo, Jawa, Casual Dining,38, Good,140000,Jakarta Timur
 Abuba Steak, Steak, Casual Dining,37, Good,300000,Jakarta Timur
 Holycow STEAKHOUSE by Chef Afit, Steak, Casual Dining,42, Very Good,380000,Jakarta Timur
 Ichiban Sushi, Sushi, Casual Dining,36, Good,200000,Jakarta Timur
 Nannys Pavillon, Italian, Casual Dining,39, Good,250000,Jakarta Timur
 Ikan Bakar dalam Bambu Karimata, Kalimantan, Casual Dining,41, Very Good,200000,Jakarta Timur
 Zenbu, Sushi, Casual Dining,40, Very Good,200000,Jakarta Timur
 Hanamasa, Japanese, Casual Dining,42, Very Good,350000,Jakarta Timur
 Ai Sushi, Japanese, Casual Dining,35, Good,150000,Jakarta Timur
 Pagi Sore, Padang, Casual Dining,39, Good,150000,Jakarta Timur
 Pagi Sore, Padang, Casual Dining,39, Good,150000,Jakarta Timur
 Sushi King, Japanese, Casual Dining,34, Average,150000,Jakarta Timur
 Celsius Cafe  Grill, Western, Casual Dining,36, Good,100000,Jakarta Timur
 Sushi Tei, Sushi, Casual Dining,38, Good,280000,Jakarta Timur
 Telaga Seafood, Seafood, Casual Dining,38, Good,200000,Jakarta Timur
 Imperial Kitchen  Dimsum, Dimsum, Casual Dining,37, Good,220000,Jakarta Timur
 Ichiban Sushi, Sushi, Casual Dining,36, Good,200000,Jakarta Timur
 Wills Steak, Steak, Casual Dining,38, Good,350000,Jakarta Timur
 Pan  Flip, Western, Casual Dining,37, Good,150000,Jakarta Timur
 SUKIYA, Japanese, Casual Dining,36, Good,100000,Jakarta Timur
 AlJazeerah, Arabian, Casual Dining,40, Very Good,350000,Jakarta Timur
 Ta Wan, Chinese, Casual Dining,37, Good,170000,Jakarta Timur
 Beatrice Quarters, Japanese, Casual Dining,40, Very Good,300000,Jakarta Timur
 Sate Khas Senayan, Satay, Casual Dining,38, Good,280000,Jakarta Timur
 The Garden, Western, Casual Dining,46, Excellent,250000,Jakarta Utara
 Bandar Djakarta, Seafood, Casual Dining,43, Very Good,250000,Jakarta Utara
 Kintaro Sushi, Sushi, Casual Dining,47, Excellent,200000,Jakarta Utara
 Sushi Hiro, Sushi, Casual Dining,49, Excellent,400000,Jakarta Utara
 Sushi Hiro, Sushi, Casual Dining,48, Excellent,400000,Jakarta Utara
 Sushi Masa, Sushi, Casual Dining,49, Excellent,500000,Jakarta Utara
 Gyu  Kaku Japanese BBQ, Japanese, Casual Dining,48, Excellent,350000,Jakarta Utara
 Talaga Sampireun, Sunda, Casual Dining,48, Excellent,200000,Jakarta Utara
 Kanpai, Japanese, Casual Dining,44, Very Good,270000,Jakarta Utara
 OnYasai Shabu Shabu, Japanese, Casual Dining,45, Excellent,300000,Jakarta Utara
 Mujigae, Korean, Casual Dining,39, Good,60000,Jakarta Utara
 Segarra, Seafood, Casual Dining,42, Very Good,750000,Jakarta Utara
 Momo Paradise, Japanese, Casual Dining,49, Excellent,400000,Jakarta Utara
 Sushi Tei, Sushi, Casual Dining,44, Very Good,280000,Jakarta Utara
 Six Ounces Coffee, Cafe, Casual Dining,45, Excellent,200000,Jakarta Utara
 Onokabe, Japanese, Casual Dining,39, Good,300000,Jakarta Utara
 MONKS, Western, Casual Dining,43, Very Good,250000,Jakarta Utara
 Larb Thai Cuisine, Thai, Casual Dining,45, Excellent,200000,Jakarta Utara
 Jetski Cafe, Italian, Casual Dining,41, Very Good,350000,Jakarta Utara
 Pancious, Western, Casual Dining,45, Excellent,400000,Jakarta Utara
 Ying Thai, Asian, Casual Dining,43, Very Good,200000,Jakarta Utara
 Social Affair, Western, Casual Dining,43, Very Good,300000,Jakarta Utara
 Sop Konro Karebosi, Makassar, Casual Dining,41, Very Good,120000,Jakarta Utara
 Goobne, Korean, Casual Dining,44, Very Good,200000,Jakarta Utara
 Union, Italian, Casual Dining,45, Excellent,400000,Jakarta Utara
 Abura Soba Yamatoten, Japanese, Casual Dining,44, Very Good,200000,Jakarta Utara
 Negiya Dining, Japanese, Casual Dining,43, Very Good,200000,Jakarta Utara
 PUTIEN, Chinese, Casual Dining,45, Excellent,250000,Jakarta Utara
 Magal Mapogalmaegi BBQ, BBQ, Casual Dining,44, Very Good,300000,Jakarta Utara
 PUTIEN, Chinese, Casual Dining,43, Very Good,250000,Jakarta Utara
 Yuraku, Japanese, Casual Dining,43, Very Good,330000,Jakarta Utara
 Sisterfields, Healthy Food, Casual Dining,38, Good,300000,Jakarta Utara
 Magal Mapogalmaegi BBQ, BBQ, Casual Dining,46, Excellent,300000,Jakarta Utara
 Shaburi Shabu Shabu, Japanese, Casual Dining,46, Excellent,600000,Jakarta Utara
 Seorae, Korean, Casual Dining,41, Very Good,250000,Jakarta Utara
 Kincir  Souvenir, Indonesian, Casual Dining,42, Very Good,170000,Jakarta Utara
 Kintan Buffet, Asian, Casual Dining,43, Very Good,600000,Jakarta Utara
 Holycow STEAKHOUSE by Chef Afit, Steak, Casual Dining,42, Very Good,380000,Jakarta Utara
 Sainé Daise Bistro, Indonesian, Casual Dining,41, Very Good,300000,Jakarta Utara
 Seorae, Korean, Casual Dining,40, Very Good,250000,Jakarta Utara
 Sushi Hiro, Sushi, Casual Dining,47, Excellent,400000,Jakarta Selatan
 Lucky Cat Coffee  Kitchen, Cafe, Casual Dining,43, Very Good,300000,Jakarta Selatan
 3 Wise Monkeys, Japanese, Casual Dining,44, Very Good,450000,Jakarta Selatan
 Okuzono, Japanese, Casual Dining,45, Excellent,300000,Jakarta Selatan
 Warung MJS, Jawa, Casual Dining,42, Very Good,170000,Jakarta Selatan
 Ippudo, Japanese, Casual Dining,47, Excellent,250000,Jakarta Selatan
 BEAU by Talita Setyadi, Cafe, Casual Dining,44, Very Good,150000,Jakarta Selatan
 Union, Italian, Casual Dining,46, Excellent,400000,Jakarta Selatan
 Gioi, Asian, Casual Dining,47, Excellent,550000,Jakarta Selatan
 Hause Rooftop, Western, Casual Dining,44, Very Good,370000,Jakarta Selatan
 Pokenbir, Asian, Casual Dining,49, Excellent,320000,Jakarta Selatan
 SeirockYa, Japanese, Casual Dining,47, Excellent,160000,Jakarta Selatan
 Yakinikuya, Japanese, Casual Dining,48, Excellent,250000,Jakarta Selatan
 Bottega Ristorante, Italian, Casual Dining,43, Very Good,450000,Jakarta Selatan
 Legend of Noodle, Korean, Casual Dining,46, Excellent,200000,Jakarta Selatan
 Kintan Buffet, Grill, Casual Dining,46, Excellent,600000,Jakarta Selatan
 Lawless Burgerbar, Burger, Casual Dining,47, Excellent,150000,Jakarta Selatan
 OJJU, Korean, Casual Dining,44, Sangat Baik,200000,Jakarta Selatan
 Kintaro Sushi, Sushi, Casual Dining,43, Very Good,200000,Jakarta Selatan
 Twinhouse, Asian, Casual Dining,44, Very Good,250000,Jakarta Selatan
 Garcon, Western, Casual Dining,46, Excellent,600000,Jakarta Selatan
 Sofia at The Gunawarman, Western, Casual Dining,43, Very Good,700000,Jakarta Selatan
 MammaRosy, Italian, Casual Dining,44, Very Good,300000,Jakarta Selatan
 Odysseia, Italian, Casual Dining,41, Sangat Baik,400000,Jakarta Selatan
 AB Steak by Chef Akira Back, Steak, Casual Dining,49, Excellent,1200000,Jakarta Selatan
 Gyu  Kaku Japanese BBQ, Japanese, Casual Dining,49, Excellent,350000,Jakarta Selatan
 Shabu Hachi, Japanese, Casual Dining,46, Excellent,350000,Jakarta Selatan
 Mangia, Cafe, Casual Dining,43, Very Good,250000,Jakarta Selatan
 Loewy, Western, Casual Dining,43, Very Good,350000,Jakarta Selatan
 Union, Italian, Casual Dining,43, Very Good,400000,Jakarta Selatan
 Seasonal Tastes  The Westin Jakarta, Indonesian, Casual Dining,45, Excellent,500000,Jakarta Selatan
 Sailendra  JW Marriott Hotel, Western, Casual Dining,42, Very Good,780000,Jakarta Selatan
 Crematology Coffee Roasters, Coffee, Casual Dining,42, Very Good,250000,Jakarta Selatan
 Kashiwa, Japanese, Casual Dining,44, Very Good,250000,Jakarta Selatan
 OJJU, Korean, Casual Dining,43, Very Good,200000,Jakarta Selatan
 The Holy Crab, Seafood, Casual Dining,42, Very Good,300000,Jakarta Selatan
 Zenbu, Sushi, Casual Dining,44, Very Good,200000,Jakarta Selatan
 Tokyo Skipjack, Japanese, Casual Dining,45, Excellent,240000,Jakarta Selatan
 Gyu  Kaku Japanese BBQ, Japanese, Casual Dining,49, Excellent,350000,Jakarta Barat
 Talaga Sampireun, Sunda, Casual Dining,46, Excellent,200000,Jakarta Barat
 Gyu  Kaku Japanese BBQ, Japanese, Casual Dining,48, Excellent,350000,Jakarta Barat
 ONNI House, Indonesian, Casual Dining,40, Very Good,250000,Jakarta Barat
 Oma Seafood, Seafood, Casual Dining,45, Excellent,250000,Jakarta Barat
 Koultoura, Cafe, Casual Dining,43, Very Good,400000,Jakarta Barat
 Ippudo, Japanese, Casual Dining,46, Excellent,250000,Jakarta Barat
 Willie Brothers, Steak, Casual Dining,40, Very Good,300000,Jakarta Barat
 Zenbu, Sushi, Casual Dining,44, Very Good,200000,Jakarta Barat
 Cafe Batavia, Indonesian, Casual Dining,42, Very Good,300000,Jakarta Barat
 Shu Guo Yin Xiang, Chinese, Casual Dining,47, Excellent,250000,Jakarta Barat
 Sushi Tei, Sushi, Casual Dining,45, Excellent,280000,Jakarta Barat
 Hachi Hachi Bistro, Japanese, Casual Dining,42, Very Good,350000,Jakarta Barat
 Layar Seafood, Seafood, Casual Dining,47, Excellent,200000,Jakarta Barat
 So Fashion Cafe, Western, Casual Dining,40, Very Good,200000,Jakarta Barat
 The Baileys and Chloe, Western, Casual Dining,42, Very Good,150000,Jakarta Barat
 Ardent Coffee  Kitchen, Coffee, Casual Dining,44, Very Good,350000,Jakarta Barat
 Pingoo Restaurant, Seafood, Casual Dining,40, Very Good,500000,Jakarta Barat
 Nannys Pavillon, Italian, Casual Dining,41, Very Good,250000,Jakarta Barat
 Mujigae, Korean, Casual Dining,40, Very Good,60000,Jakarta Barat
 Jun Njan, Seafood, Casual Dining,47, Excellent,280000,Jakarta Barat
 TGI Fridays, Burger, Casual Dining,41, Very Good,400000,Jakarta Barat
 Crematology Coffee Roasters, Cafe, Casual Dining,45, Excellent,200000,Jakarta Barat
 Common Grounds, Cafe, Casual Dining,43, Very Good,250000,Jakarta Barat
 Holycow STEAKHOUSE by Chef Afit, Steak, Casual Dining,44, Very Good,380000,Jakarta Barat
 Glosis, Western, Casual Dining,43, Very Good,300000,Jakarta Barat
 OnYasai Shabu Shabu, Japanese, Casual Dining,44, Very Good,300000,Jakarta Barat
 Manhattan Fish Market, Seafood, Casual Dining,38, Good,300000,Jakarta Barat
 Paradise Dynasty, Chinese, Casual Dining,43, Sangat Baik,400000,Jakarta Barat
 Penang Bistro, Peranakan, Casual Dining,44, Very Good,250000,Jakarta Barat
 Kamseng Restaurant, Chinese, Casual Dining,41, Very Good,180000,Jakarta Barat
 Bariuma Ramen, Ramen, Casual Dining,44, Very Good,230000,Jakarta Barat
 Pancious, Western, Casual Dining,43, Very Good,400000,Jakarta Barat
 Coco Ichibanya Curry, Japanese, Casual Dining,44, Very Good,260000,Jakarta Barat
 TGI Fridays, Burger, Casual Dining,42, Very Good,400000,Jakarta Barat
 Tuttonero Coffee  Eat, Western, Casual Dining,40, Very Good,160000,Jakarta Barat
 Fish  Co, Seafood, Casual Dining,42, Very Good,330000,Jakarta Barat
 Restaurant Sarang Oci, Manado, Casual Dining,43, Very Good,250000,Jakarta Barat
 Le Quartier, French, Casual Dining,45, Excellent,500000,Jakarta Selatan
 Toodz House, Cafe, Casual Dining,47, Terbaik,240000,Jakarta Selatan
 Popolamama, Pizza, Casual Dining,44, Very Good,180000,Jakarta Barat
 Kitchenette, Italian, Casual Dining,41, Very Good,350000,Jakarta Barat
 Gelato Secrets, Ice Cream, Dessert Parlour,46, Excellent,130000,Jakarta Pusat
 Colette  Lola, Desserts, Dessert Parlour,42, Very Good,210000,Jakarta Pusat
 Sumoboo, Desserts, Dessert Parlour,41, Very Good,180000,Jakarta Pusat
 Hong Tang, Desserts, Dessert Parlour,40, Very Good,100000,Jakarta Pusat
 Godiva, Desserts, Dessert Parlour,46, Excellent,120000,Jakarta Pusat
 La Maison, Desserts, Dessert Parlour,45, Excellent,150000,Jakarta Pusat
 DORÉ by LeTAO, Desserts, Dessert Parlour,46, Excellent,250000,Jakarta Pusat
 Sour Sally, Desserts, Dessert Parlour,43, Very Good,100000,Jakarta Pusat
 llaollao, Ice Cream, Dessert Parlour,42, Very Good,110000,Jakarta Pusat
 Pipiltin Cocoa, Desserts, Dessert Parlour,42, Very Good,150000,Jakarta Pusat
 Haagen  Dazs, Desserts, Dessert Parlour,41, Very Good,330000,Jakarta Pusat
 Krispy Kreme, Bakery, Dessert Parlour,40, Very Good,75000,Jakarta Pusat
 Dairy Queen, Ice Cream, Dessert Parlour,42, Very Good,80000,Jakarta Pusat
 Kibo, Desserts, Dessert Parlour,42, Very Good,120000,Jakarta Pusat
 Sweet Monster, Desserts, Dessert Parlour,41, Very Good,100000,Jakarta Pusat
 Gaya Gelato, Ice Cream, Dessert Parlour,42, Very Good,80000,Jakarta Pusat
 Gelato Secrets, Ice Cream, Dessert Parlour,40, Very Good,130000,Jakarta Pusat
 Cold Stone Creamery, Ice Cream, Dessert Parlour,40, Very Good,110000,Jakarta Pusat
 Sop Duren 88, Desserts, Dessert Parlour,36, Good,50000,Jakarta Pusat
 The Harvest, Desserts, Dessert Parlour,36, Good,100000,Jakarta Pusat
 First Love Patisserie, Desserts, Dessert Parlour,39, Good,70000,Jakarta Pusat
 aROMA Gelato Experience, Desserts, Dessert Parlour,42, Very Good,95000,Jakarta Pusat
 Gourmet  Hotel Borobudur, Cafe, Dessert Parlour,37, Good,120000,Jakarta Pusat
 Cold Stone Creamery, Ice Cream, Dessert Parlour,37, Good,110000,Jakarta Pusat
 AH Resto Cafe, American, Dessert Parlour,34, Average,120000,Jakarta Pusat
 21 Factory, Coffee, Dessert Parlour,36, Good,100000,Jakarta Pusat
 Sour Sally, Desserts, Dessert Parlour,38, Good,100000,Jakarta Pusat
 Baltic Ice Cream, Desserts, Dessert Parlour,40, Very Good,60000,Jakarta Pusat
 Blueberry Pancake House  Hotel Cipta, Western, Dessert Parlour,34, Average,180000,Jakarta Pusat
 Maquis, Desserts, Dessert Parlour,36, Good,75000,Jakarta Pusat
 Krispy Kreme, Bakery, Dessert Parlour,37, Good,100000,Jakarta Pusat
 Pipiltin Cocoa, Desserts, Dessert Parlour,36, Good,100000,Jakarta Pusat
 Nadine Wibowo Pie Pisang, Desserts, Dessert Parlour,37, Good,90000,Jakarta Pusat
 Puyo Silky Desserts, Desserts, Dessert Parlour,37, Good,40000,Jakarta Pusat
 The Harvest, Desserts, Dessert Parlour,26, Average,100000,Jakarta Pusat
 Maquis, Desserts, Dessert Parlour,37, Good,75000,Jakarta Pusat
 The Harvest, Desserts, Dessert Parlour,33, Average,100000,Jakarta Pusat
 Baskin Robbins, Ice Cream, Dessert Parlour,35, Good,130000,Jakarta Pusat
 Tjanang Ice Cream, Ice Cream, Dessert Parlour,33, Biasa,50000,Jakarta Pusat
 Dorayaki Addict by Shokupan, Desserts, Dessert Parlour,33, Average,90000,Jakarta Pusat
 Fat Bubble, Desserts, Dessert Parlour,37, Good,150000,Jakarta Timur
 Sop Duren Addict, Desserts, Dessert Parlour,35, Good,60000,Jakarta Timur
 Chezini, Bakery, Dessert Parlour,36, Good,100000,Jakarta Timur
 AEON Ice Cream, Ice Cream, Dessert Parlour,37, Good,50000,Jakarta Timur
 Rumah Durian Harum, Desserts, Dessert Parlour,35, Good,60000,Jakarta Timur
 Puyo Silky Desserts, Desserts, Dessert Parlour,38, Baik,40000,Jakarta Timur
 Krispy Kreme, Bakery, Dessert Parlour,33, Average,75000,Jakarta Timur
 The Harvest, Desserts, Dessert Parlour,33, Average,100000,Jakarta Timur
 Puyo Silky Desserts, Desserts, Dessert Parlour,34, Biasa,40000,Jakarta Timur
 Cold Stone Creamery, Ice Cream, Dessert Parlour,34, Average,110000,Jakarta Timur
 D Crepes, Desserts, Dessert Parlour,32, Biasa,50000,Jakarta Timur
 The Dorcas, Desserts, Dessert Parlour,34, Average,60000,Jakarta Timur
 Serabi Solo Aroma, Desserts, Dessert Parlour,31, Average,50000,Jakarta Timur
 Sakura Juice Bar, Beverages, Dessert Parlour,31, Average,80000,Jakarta Timur
 Baskin Robbins, Ice Cream, Dessert Parlour,33, Average,130000,Jakarta Timur
 Ice Hill, Desserts, Dessert Parlour,32, Average,85000,Jakarta Timur
 Super Slice, Desserts, Dessert Parlour,32, Average,50000,Jakarta Timur
 Puyo Silky Desserts, Desserts, Dessert Parlour,34, Biasa,40000,Jakarta Timur
 Baskin Robbins, Ice Cream, Dessert Parlour,33, Average,130000,Jakarta Timur
 D Crepes, Desserts, Dessert Parlour,0, Not rated,50000,Jakarta Timur
 Dairy Queen, Ice Cream, Dessert Parlour,32, Average,80000,Jakarta Timur
 Baskin Robbins, Ice Cream, Dessert Parlour,0, Not rated,130000,Jakarta Timur
 Baskin Robbins, Ice Cream, Dessert Parlour,0, Not rated,130000,Jakarta Timur
 Ice Cream Gentong, Ice Cream, Dessert Parlour,31, Average,60000,Jakarta Timur
 Puyo Silky Desserts, Desserts, Dessert Parlour,0, Belum ada penilaian,40000,Jakarta Timur
 Donut Berry, Desserts, Dessert Parlour,31, Average,70000,Jakarta Timur
 McDonalds Ice Cream, Desserts, Dessert Parlour,0, Not rated,30000,Jakarta Timur
 Yole, Desserts, Dessert Parlour,0, Not rated,100000,Jakarta Timur
 Kaiso, Desserts, Dessert Parlour,0, Not rated,70000,Jakarta Timur
 Baskin Robbins, Ice Cream, Dessert Parlour,0, Not rated,130000,Jakarta Timur
 Kedai Panglima, Desserts, Dessert Parlour,0, Not rated,80000,Jakarta Timur
 Mrs Waffles, Desserts, Dessert Parlour,0, Not rated,50000,Jakarta Timur
 Ichigo Crepes, Desserts, Dessert Parlour,0, Not rated,40000,Jakarta Timur
 Baskin Robbins, Ice Cream, Dessert Parlour,0, Not rated,130000,Jakarta Timur
 The Gorpiz, Desserts, Dessert Parlour,0, Not rated,70000,Jakarta Timur
 Pisang Nugget Markotop, Desserts, Dessert Parlour,0, Not rated,50000,Jakarta Timur
 Gelato Bon Bon, Ice Cream, Dessert Parlour,0, Not rated,70000,Jakarta Timur
 Eggo Waffle, Desserts, Dessert Parlour,0, Not rated,60000,Jakarta Timur
 McDonalds Ice Cream, Desserts, Dessert Parlour,0, Not rated,30000,Jakarta Timur
 McDonalds Ice Cream, Desserts, Dessert Parlour,0, Not rated,30000,Jakarta Timur
 Sumoboo, Desserts, Dessert Parlour,41, Very Good,180000,Jakarta Utara
 Sweet Hut, Desserts, Dessert Parlour,40, Sangat Baik,150000,Jakarta Utara
 Sumoboo, Desserts, Dessert Parlour,38, Good,180000,Jakarta Utara
 Hong Tang, Desserts, Dessert Parlour,38, Good,100000,Jakarta Utara
 Gaya Gelato, Ice Cream, Dessert Parlour,43, Sangat Baik,80000,Jakarta Utara
 Banainai, Desserts, Dessert Parlour,43, Very Good,80000,Jakarta Utara
 Hokkaido Ice Cream Puff, Desserts, Dessert Parlour,42, Very Good,80000,Jakarta Utara
 North Pole Cafe, Cafe, Dessert Parlour,39, Good,150000,Jakarta Utara
 Milkbar, Ice Cream, Dessert Parlour,38, Good,100000,Jakarta Utara
 The Young Dong, Korean, Dessert Parlour,40, Very Good,110000,Jakarta Utara
 The Harvest, Desserts, Dessert Parlour,40, Very Good,100000,Jakarta Utara
 Hong Tang, Desserts, Dessert Parlour,39, Good,100000,Jakarta Utara
 MOONI Artisan Gelato, Ice Cream, Dessert Parlour,40, Very Good,100000,Jakarta Utara
 il Vero Gelateria, Ice Cream, Dessert Parlour,42, Sangat Baik,70000,Jakarta Utara
 The Harvest, Desserts, Dessert Parlour,39, Good,100000,Jakarta Utara
 Hongkong Sheng Kee Dessert, Desserts, Dessert Parlour,38, Good,220000,Jakarta Utara
 Koiyaki, Desserts, Dessert Parlour,41, Very Good,70000,Jakarta Utara
 Eggo Waffle, Desserts, Dessert Parlour,38, Good,60000,Jakarta Utara
 Sour Sally, Desserts, Dessert Parlour,41, Very Good,100000,Jakarta Utara
 Zangrandi Ice Cream, Ice Cream, Dessert Parlour,39, Good,60000,Jakarta Utara
 First Love Patisserie, Desserts, Dessert Parlour,41, Very Good,70000,Jakarta Utara
 Uncle Tetsu, Desserts, Dessert Parlour,41, Very Good,100000,Jakarta Utara
 Hokkaido Baked Cheese Tart, Desserts, Dessert Parlour,42, Very Good,100000,Jakarta Utara
 Gaya Gelato, Ice Cream, Dessert Parlour,42, Very Good,80000,Jakarta Utara
 Sour Sally, Desserts, Dessert Parlour,41, Very Good,100000,Jakarta Utara
 Puyo Silky Desserts, Desserts, Dessert Parlour,38, Good,40000,Jakarta Utara
 llaollao, Ice Cream, Dessert Parlour,39, Good,110000,Jakarta Utara
 Kedai Gentong, Ice Cream, Dessert Parlour,37, Good,100000,Jakarta Utara
 Sweet Monster, Desserts, Dessert Parlour,38, Good,100000,Jakarta Utara
 Pablo, Desserts, Dessert Parlour,38, Good,200000,Jakarta Utara
 Manon Chocolatier  Patissier, Desserts, Dessert Parlour,37, Good,120000,Jakarta Utara
 Hokkaido Ice Cream Puff, Desserts, Dessert Parlour,40, Very Good,80000,Jakarta Utara
 MOIVEL, Desserts, Dessert Parlour,39, Good,60000,Jakarta Utara
 Pesca Ice Cream Cakes, Ice Cream, Dessert Parlour,39, Good,150000,Jakarta Utara
 Humble, Desserts, Dessert Parlour,39, Good,120000,Jakarta Utara
 Haagen  Dazs, Desserts, Dessert Parlour,41, Very Good,330000,Jakarta Utara
 Alberto Gelato  Patisserie, Ice Cream, Dessert Parlour,39, Good,150000,Jakarta Utara
 Paletas Wey, Ice Cream, Dessert Parlour,39, Good,70000,Jakarta Utara
 Krispy Kreme, Bakery, Dessert Parlour,38, Good,75000,Jakarta Utara
 Cold Stone Creamery, Ice Cream, Dessert Parlour,38, Good,110000,Jakarta Utara
